gmime,docbook-utils;glib;gobject-introspection;gpgme;gtk-doc;libgpg-error;libidn2;vala;
gmp,
gnome-autoar,gtk+3;gtk-doc;libarchive;vala;
gnome-backgrounds,
gnome-bluetooth,gobject-introspection;gtk+3;gtk-doc;itstool;libcanberra;libnotify;
gnome-calculator,gtk+3;gtksourceview4;itstool;libgee;libsoup;vala;
gnome-color-manager,colord;desktop-file-utils;docbook-utils;gtk+3;itstool;libcanberra;libexif;little-cms;
gnome-control-center,accountsservice;cheese;clutter-gtk;colord-gtk;cups;gnome-bluetooth;gnome-online-accounts;gnome-settings-daemon;grilo;gsound;ibus;libgtop;libhandy;libnma;libpwquality;mit-kerberos-v5;modemmanager;python-dbusmock;samba;shared-mime-info;udisks;
gnome-desktop,bubblewrap;gobject-introspection;gsettings-desktop-schemas;gtk+3;gtk-doc;iso-codes;itstool;libseccomp;libxml2;xkeyboard-config;
gnome-disk-utility,gnome-settings-daemon;itstool;libdvdread;libpwquality;libsecret;udisks;
gnome-icon-theme,gtk+2;gtk+3;hicolor-icon-theme;icon-naming-utils;
gnome-icon-theme-extras,git;gnome-icon-theme;inkscape;
gnome-icon-theme-symbolic,git;gnome-icon-theme;inkscape;
gnome-keyring,dbus;gcr;gnupg;libxslt;linux-pam;openssh;valgrind;
gnome-logs,desktop-file-utils;docbook-xml45;docbook-xsl;gsettings-desktop-schemas;gtk+3;itstool;libxslt;
gnome-maps,clutter-gtk;folks;geoclue;geocode-glib;gfbgraph;gjs;libchamplain;libgee;rest;
gnome-menus,glib;gobject-introspection;
gnome-nettool,gtk+3;itstool;libgtop;
gnome-online-accounts,gcr;gobject-introspection;gtk-doc;json-glib;mit-kerberos-v5;rest;vala;valgrind;webkitgtk+;
gnome-power-manager,docbook-utils;gtk+3;upower;
gnome-screenshot,gtk+3;libcanberra;libhandy;
gnome-session,dbus-glib;docbook-xml45;docbook-xsl;gconf;gnome-desktop;json-glib;libxslt;mesa;systemd;upower;xmlto;
gnome-settings-daemon,alsa;colord;cups;fontconfig;gcr;geoclue;geocode-glib;gnome-desktop;libcanberra;libgweather;libnotify;librsvg;libwacom;little-cms;mutter;networkmanager;nss;pulseaudio;python-dbusmock;systemd;umockdev;upower;wayland;xorg-wacom-driver;
gnome-shell,asciidoc;desktop-file-utils;evolution-data-server;gjs;gnome-autoar;gnome-bluetooth;gnome-control-center;gst-plugins-base;gtk-doc;mutter;networkmanager;sassc;startup-notification;systemd;
gnome-shell-extensions,libgtop;sassc;
gnome-system-monitor,adwaita-icon-theme;desktop-file-utils;gtkmm3;itstool;libgtop;librsvg;
gnome-terminal,dconf;desktop-file-utils;gnome-shell;gsettings-desktop-schemas;itstool;nautilus;pcre2;vte;
gnome-themes-extra,gtk+2;gtk+3;librsvg;
gnome-tweaks,gsettings-desktop-schemas;gtk+3;libhandy;python-pygobject;sound-theme-freedesktop;
gnome-user-docs,itstool;libxml2;
gnome-video-effects,
gnome-weather,gjs;libgweather;
gnu-efi,
gnumeric,dconf;gobject-introspection;goffice;itstool;python-pygobject;valgrind;
gnupg,curl;fuse;gnutls;imagemagick;libassuan;libgcrypt;libksba;libusb;npth;openldap;pinentry;sendmail;sqlite;texlive;
gnutls,doxygen;gtk-doc;guile;libidn;libidn2;libseccomp;libtasn1;libunistring;make-ca;net-tools-cvs;nettle;p11-kit;texlive;unbound;valgrind;
gobject-introspection,cairo;gjs;glib;gtk-doc;python-mako;
goffice,ghostscript;gobject-introspection;gsettings-desktop-schemas;gtk+3;gtk-doc;libgsf;librsvg;libxslt;which;
gparted,btrfs-progs;gtkmm3;parted;
gperf,
gperftools,
gpgme,clisp;doxygen;gnupg;graphviz;libassuan;python2;qt;swig;
gpgmepp,gpgme;
gpicview,gtk+2;
gpm,
gptfdisk,icu;popt;
grantlee,cmake;qt;
graphene,glib;gobject-introspection;
graphite2,asciidoc;cmake;doxygen;freetype;harfbuzz;texlive;
graphviz,cairo;fontconfig;freeglut;gcc;ghostscript;gtk+2;guile;libglade;libjpeg-turbo;libpng;librsvg;libwebp;lua;openjdk;pango;php;poppler;python2;qt;ruby;swig;tk;xorg-libraries;
grep,
grilo,avahi;docbook-utils;glib;gobject-introspection;gtk+3;gtk-doc;liboauth;libsoup;libxml2;totem-pl-parser;vala;
groff,
grub,
gsettings-desktop-schemas,glib;gobject-introspection;
gsl,
gsound,gobject-introspection;gtk-doc;vala;
gspell,enchant;gobject-introspection;gtk+3;gtk-doc;iso-codes;vala;valgrind;
gst-libav,ffmpeg;gst-plugins-base;yasm;
gst-plugins-bad,gst-plugins-base;libdvdread;libdvdnav;soundtouch;bluez;curl;faac;faad2;fdk-aac;gtk+3;little-cms;libass;libexif;libgudev;libmpeg2;librsvg;libsndfile;libssh;libusb;libwebp;libxkbcommon;neon;nettle;libgcrypt;opencv;openjpeg;opus;sbc;sdl;valgrind;wayland;x265;xorg-libraries;
gst-plugins-base,alsa-lib;cdparanoia-iii;gobject-introspection;graphene;gstreamer;gtk+3;iso-codes;libogg;libtheora;libvorbis;opus;qt;sdl;sdl2;valgrind;xorg-libraries;mesa;wayland-protocols;
gst-plugins-good,aalib;alsa-oss;cairo;flac;gdk-pixbuf;gst-plugins-base;gtk+3;lame;libdv;libgudev;libjpeg-turbo;libpng;libsoup;libvpx;mesa;mpg123;nasm;pulseaudio;qt;speex;taglib;v4l-utils;valgrind;wayland;xorg-libraries;
gst-plugins-ugly,gst-plugins-base;liba52;libdvdread;x264;libmpeg2;libcdio;valgrind;
gstreamer,glib;gobject-introspection;gsl;gtk+3;gtk-doc;valgrind;
gstreamer-vaapi,gst-plugins-bad;gst-plugins-base;gstreamer;libva;gtk+3;
gtk#,
gtk+2,atk;cups;docbook-utils;gdk-pixbuf;gobject-introspection;gtk-doc;hicolor-icon-theme;pango;
gtk+3,adwaita-icon-theme;at-spi2-atk;colord;cups;docbook-utils;gdk-pixbuf;gobject-introspection;gtk-doc;hicolor-icon-theme;iso-codes;json-glib;libepoxy;libxkbcommon;pango;python-pyatspi2;rest;sassc;wayland;wayland-protocols;
gtk+4,
gtk-doc,docbook-xml45;docbook-xsl;fop;glib;itstool;libxslt;parameterized;python-lxml;python-pygments;which;
gtk-engines,gtk+2;lua;which;
gtk-vnc,cyrus-sasl;gnutls;gobject-introspection;gtk+3;libgcrypt;pulseaudio;python2;vala;
gtkmm2,atkmm;gtk+2;pangomm;
gtkmm3,atkmm;gtk+3;pangomm;doxygen;
gtksourceview2,
gtksourceview3,fop;gobject-introspection;gtk+3;gtk-doc;itstool;vala;valgrind;
gtksourceview4,fop;gobject-introspection;gtk+3;gtk-doc;itstool;libxml2;vala;valgrind;
gucharmap,desktop-file-utils;gobject-introspection;gtk+3;gtk-doc;itstool;unzip;vala;wget;
guile,gc;libunistring;
gutenprint,cups;docbook-utils;doxygen;gimp;imagemagick;texlive;
gvfs,apache;avahi;bluez;dbus;dbus-glib;fuse;gcr;glib;gnome-online-accounts;gtk+3;gtk-doc;libarchive;libcdio;libgcrypt;libgdata;libgudev;libsecret;libsoup;libusb;libxml2;libxslt;openssh;samba;systemd;udisks;
gwenview,exiv2;kde-frameworks;libkdcraw;little-cms;
gzip,
harfbuzz,cairo;freetype;glib;gobject-introspection;graphite2;gtk-doc;icu;
haveged,
hd2u,popt;
hdparm,
help2man,
hexchat,dbus-glib;glib;gtk+2;iso-codes;libcanberra;libnotify;lua;pciutils;
hicolor-icon-theme,
highlight,boost;lua;qt;
iana-etc,
ibus,dconf;gobject-introspection;gtk+2;gtk-doc;iso-codes;libnotify;libxkbcommon;python-pygobject;python-dbus;python-pyxdg;vala;wayland;
iceauth,
icewm,cmake;xorg;gdk-pixbuf-xlib;fribidi;imlib2;librsvg;libao;libsndfile;alsa-lib;
icon-naming-utils,perl-xml-simple;
icontool,
icu,clang;doxygen;llvm;
id3lib,
idns,doxygen;libpcap;make-ca;python2;swig;
imagemagick,clang;cups;curl;enscript;ffmpeg;fftw;ghostscript;gimp;gnupg;graphviz;inkscape;jasper;libgxps;libjpeg-turbo;libpng;libraw;librsvg;libtiff;libwebp;little-cms1;llvm;openjpeg;pango;p7zip;sane;texlive;wget;xdg-utils;xterm;
imlib2,giflib;libjpeg-turbo;libpng;libtiff;xorg-libraries;
inetutils,
inih,
inkscape,aspell;boost;dbus;double-conversion;doxygen;gc;gdl;gsl;gtkmm3;imagemagick;libcanberra;libsoup;libxslt;little-cms;little-cms1;poppler;popt;potrace;wget;python-lxml;scour;
intel-vaapi-driver,libva;xorg-intel-driver;
intlfonts,
intltool,
iproute2,
iptables,libpcap;
isl,
iso-codes,
itstool,docbook-xml45;
iw,libnl;
jansson,
jasper,cmake;doxygen;freeglut;libjpeg-turbo;texlive;
java,
jfsutils,
joe,
js68,autoconf213;clang;doxygen;icu;llvm;nasm;python2;which;
js78,autoconf213;icu;rustc;which;
json-c,cmake;
json-glib,glib;gobject-introspection;gtk-doc;
k3b,ffmpeg;flac;kde-frameworks;lame;libburn;libdvdread;libkcddb;libmad;libmusicbrainz;libsamplerate;libsndfile;libvorbis;shared-mime-info;taglib;
kactivities,
kactivities-stats,
kactivitymanagerd,
kapidox,
karchive,
kate,kde-frameworks;
kauth,
kbd,
kbookmarks,
kcalendarcore,
kcmutils,
kcodecs,
kcompletion,
kconfig,
kconfigwidgets,
kcontacts,
kcoreaddons,
kcrash,
kdav,
kdbusaddons,
kde-cli-tools,
kde-frameworks,boost;extra-cmake-modules;docbook-xml45;docbook-xsl;giflib;libepoxy;libgcrypt;libical;libjpeg-turbo;libpng;libxslt;lmdb;qrencode;phonon;plasma-wayland-protocols;shared-mime-info;uri;wget;aspell;avahi;libdbusmenu-qt;networkmanager;polkit-qt;bluez;modemmanager;oxygen-fonts;noto-fonts;doxygen;jinja2;python-pyyaml;jasper;mit-kerberos-v5;udisks;upower;gpgme;attica;kapidox;karchive;kcodecs;kconfig;kcoreaddons;kdbusaddons;kdnssd;kguiaddons;ki18n;kidletime;kimageformats;kitemmodels;kitemviews;kplotting;kwidgetsaddons;kwindowsystem;networkmanager-qt;solid;sonnet;threadweaver;kauth;kcompletion;kcrash;kdoctools;kpty;kunitconversion;kconfigwidgets;kservice;kglobalaccel;kpackage;kdesu;kemoticons;kiconthemes;kjobwidgets;knotifications;ktextwidgets;kxmlgui;kbookmarks;kwallet;kded;kio;kdeclarative;kcmutils;kirigami2;knewstuff;frameworkintegration;kinit;knotifyconfig;kparts;kactivities;kdewebkit;syntax-highlighting;ktexteditor;kdesignerplugin;kwayland;plasma-framework;modemmanager-qt;kpeople;kxmlrpcclient;bluez-qt;kfilemetadata;baloo;breeze-icons;oxygen-icons5;kactivities-stats;krunner;prison;qqc2-desktop-style;kjs;kdelibs4support;khtml;kjsembed;kmediaplayer;kross;kholidays;purpose;kcalendarcore;kcontacts;kquickcharts;kdav;
kde-gtk-config,
kdeclarative,
kdecoration,
kded,
kdelibs4support,
kdenlive,breeze-icons;kde-frameworks;mlt;
kdeplasma-addons,
kdesignerplugin,
kdesu,
kdewebkit,
kdnssd,
kdoctools,
kemoticons,
kexec-tools,
keybinder,gobject-introspection;gtk+2;gtk-doc;lua;python2-pygtk;
keybinder3,gobject-introspection;gtk+3;gtk-doc;
keyutils,mit-kerberos-v5;
kfilemetadata,
kgamma5,
kglobalaccel,
kguiaddons,
khelpcenter,grantlee;kde-frameworks;libxml2;xapian;
kholidays,
khotkeys,
khtml,
ki18n,
kiconthemes,
kidletime,
kimageformats,
kinfocenter,
kinit,
kio,
kirigami2,
kitemmodels,
kitemviews,
kjobwidgets,
kjs,
kjsembed,
kmediaplayer,
kmenuedit,
kmix,alsa-lib;kde-frameworks;libcanberra;pulseaudio;
kmod,
knewstuff,
knotifications,
knotifyconfig,
konsole,kde-frameworks;
kpackage,
kparts,
kpeople,
kplotting,
kpty,
kquickcharts,
krb4,
kross,
krunner,
kscreen,
kscreenlocker,
kservice,
ksshaskpass,
ksysguard,
ktexteditor,
ktextwidgets,
ktorrent,kde-frameworks;
kunitconversion,
kwallet,
kwallet-pam,
kwave,alsa-lib;audiofile;doxygen;fftw;flac;id3lib;kde-frameworks;libogg;pulseaudio;
kwayland,
kwayland-integration,
kwayland-server,
kwidgetsaddons,
kwin,
kwindowsystem,
kwrited,
kxmlgui,
kxmlrpcclient,
lame,libsndfile;nasm;
less,
liba52,
libaio,
libao,alsa;pulseaudio;xorg;
libappindicator,gtk+2;gtk+3;
libarchive,libxml2;lzo;nettle;
libass,fontconfig;freetype;fribidi;harfbuzz;nasm;
libassuan,libgpg-error;texlive;
libatasmart,
libatomic-ops,
libaudit,
libblockdev,btrfs-progs;gobject-introspection;gtk-doc;libbytesize;libyaml;mdadm;parted;volume-key;
libburn,doxygen;
libbytesize,gtk-doc;pcre2;python-six;
libcanberra,alsa-lib;gstreamer;gtk+2;gtk+3;libvorbis;pulseaudio;
libcap,linux-pam;
libcddb,
libcdio,libcddb;
libchamplain,clutter;clutter-gtk;gobject-introspection;gtk+3;gtk-doc;libsoup;sqlite;vala;
libdaemon,doxygen;lynx;
libdazzle,gtk+3;vala;
libdbusmenu-qt,doxygen;qt;
libdiscid,doxygen;
libdmx,
